hour_of_year,season,u_mean_ms,u_prime_ms,omega_rad_s,omega_cross_r_ms,tsr,cp_effective,v_rel_ms,v_rel_mag_ms,particle_density,n_inner,n_outer,h_capture,dh_dt,capture_alert
117,Amihan,2.454467551357128,0.057109621074283384,9.817870205428513,7.363402654071384,0.0,0.0,-4.851825481639973,4.851825481639973,0.1875,0,15,0.0,-2.0833333333333334e-06,1
118,Amihan,2.2313341375973894,0.004875943828620407,8.925336550389558,6.694002412792168,0.0,0.0,-4.457792331366158,4.457792331366158,0.0125,1,1,0.0,0.0,0
119,Amihan,2.1675817336660352,0.34719866661990495,8.670326934664141,6.502745200998106,0.0,0.0,-3.9879648007121657,3.9879648007121657,0.225,8,18,0.0,0.0,0
120,Amihan,2.2844611408735176,-0.054679862981152176,9.13784456349407,6.853383422620553,0.0,0.0,-4.623602144728187,4.623602144728187,0.325,6,26,0.0,0.0,0
121,Amihan,2.369464346115323,-0.242514081710594,9.477857384461291,7.108393038345969,0.0,0.0,-4.9814427739412395,4.9814427739412395,0.375,6,30,0.0,0.0,0
122,Amihan,2.47571835266758,0.04438359796474855,9.90287341067032,7.42715505800274,0.0,0.0,-4.907053107370412,4.907053107370412,0.0125,1,1,0.0,0.0,0
123,Amihan,2.550096157254159,0.056101269840505605,10.200384629016636,7.650288471762477,3.0,0.3,-5.044091044667812,5.044091044667812,0.25,4,20,0.075,2.0833333333333333e-05,0
124,Amihan,2.730727968392995,0.3711571526001319,10.922911873571982,8.192183905178986,3.0000000000000004,0.3,-5.090298784185859,5.090298784185859,0.2625,0,21,0.07875,1.0416666666666676e-06,0
125,Amihan,2.847607375600478,0.23780689433132582,11.39042950240191,8.542822126801433,2.9999999999999996,0.3,-5.457407856869629,5.457407856869629,0.05,0,4,0.015,-1.7708333333333335e-05,0
126,Amihan,2.656350163806416,0.09479744964295685,10.625400655225665,7.969050491419249,3.0,0.3,-5.217902877969875,5.217902877969875,0.0875,0,7,0.02625,3.1249999999999997e-06,0
127,Amihan,2.4013405480809995,0.35138885668096936,9.605362192323998,7.2040216442429985,0.0,0.0,-4.451292239481029,4.451292239481029,0.3,0,24,0.0,-7.291666666666667e-06,1
128,Amihan,2.900734378876606,-0.3448285860012652,11.602937515506424,8.702203136629818,3.0,0.3,-6.146297343754477,6.146297343754477,0.35,0,28,0.105,2.9166666666666666e-05,0
129,Amihan,3.474506014258792,-0.2222820548170279,13.898024057035167,10.423518042776376,3.0,0.3,-7.171294083334612,7.171294083334612,0.0875,0,7,0.02625,-2.1875e-05,0
130,Amihan,3.729515629984208,-0.3455679455839237,14.918062519936832,11.188546889952624,3.0,0.3,-7.804599205552339,7.804599205552339,0.35,0,28,0.105,2.1875e-05,0
131,Amihan,4.037652248985752,-0.15739164283885798,16.150608995943006,12.112956746957256,3.0,0.3,-8.232696140810361,8.232696140810361,0.1625,1,13,0.04875,-1.5624999999999997e-05,0
132,Amihan,4.420166672573876,-0.6085182228022518,17.680666690295503,13.260500017721627,3.0,0.3,-9.448851567950003,9.448851567950003,0.05,1,4,0.015,-9.375000000000001e-06,0
133,Amihan,4.696427089609743,0.29829401126104454,18.78570835843897,14.089281268829229,3.0,0.3,-9.094560167958441,9.094560167958441,0.7125,18,57,0.21375,5.520833333333333e-05,0
134,Amihan,4.877058900748579,-0.10837931828339281,19.508235602994315,14.631176702245735,3.0,0.3,-9.86249711978055,9.86249711978055,0.225,4,18,0.0675,-4.0625e-05,0
135,Amihan,5.132068516473995,-0.754827867784887,20.52827406589598,15.396205549421985,3.0,0.3,-11.018964900732877,11.018964900732877,0.725,19,58,0.2175,4.1666666666666665e-05,0
136,Amihan,5.44020513547554,-0.5524958533066798,21.76082054190216,16.32061540642662,3.0,0.3,-11.432906124257759,11.432906124257759,0.175,4,14,0.0525,-4.5833333333333334e-05,0
137,Amihan,5.227697122371026,0.1638955438138855,20.910788489484105,15.683091367113079,3.0,0.3,-10.291498700928166,10.291498700928166,0.7,0,56,0.21,4.375e-05,0
138,Amihan,4.441417473884327,0.3722469983972803,17.765669895537307,13.32425242165298,3.0,0.3,-8.510587949371374,8.510587949371374,0.2375,4,19,0.07125,-3.8541666666666664e-05,0
139,Amihan,3.8038934345707873,0.7595351529511061,15.21557373828315,11.411680303712362,3.0,0.3,-6.848251716190469,6.848251716190469,0.125,0,10,0.0375,-9.375e-06,0
140,Amihan,3.5063822162244684,1.0217115531332075,14.025528864897874,10.519146648673406,3.0,0.3,-5.991052879315729,5.991052879315729,0.15,0,12,0.045,2.0833333333333334e-06,0
141,Amihan,3.060115388704991,0.1268140683992391,12.240461554819964,9.180346166114973,3.0,0.3,-5.993416709010742,5.993416709010742,0.175,0,14,0.0525,2.0833333333333334e-06,0
142,Amihan,2.656350163806416,-0.26285597472393357,10.625400655225665,7.969050491419249,3.0,0.3,-5.575556302336766,5.575556302336766,0.275,0,22,0.0825,8.333333333333335e-06,0
143,Amihan,2.103829329734681,-0.448546149775427,8.415317318938724,6.311487989204043,0.0,0.0,-4.656204809244789,4.656204809244789,0.1375,5,11,0.0,-2.2916666666666667e-05,1
144,Amihan,1.859445114664491,0.049779477079493234,7.437780458657964,5.578335343993473,0.0,0.0,-3.6691107522494883,3.6691107522494883,0.0875,0,7,0.0,0.0,0
145,Amihan,2.64572476315119,-0.21508183868457814,10.58289905260476,7.937174289453571,3.0,0.3,-5.506531364986959,5.506531364986959,0.0,0,0,0.0,0.0,0
146,Amihan,3.5170076168796944,-0.14608146477782344,14.068030467518776,10.551022850639082,2.9999999999999996,0.3,-7.180096698537211,7.180096698537211,0.125,0,10,0.0375,1.0416666666666666e-05,0
147,Amihan,4.335163467332071,-0.265353968175498,17.340653869328285,13.005490401996214,3.0,0.3,-8.935680902839641,8.935680902839641,0.1125,1,9,0.03375,-1.0416666666666657e-06,0
148,Amihan,4.717677890920195,-0.06642060520896372,18.87071156368078,14.153033672760584,3.0,0.3,-9.501776387049354,9.501776387049354,0.7375,20,59,0.22125,5.208333333333334e-05,0
149,Amihan,5.036439910576965,0.5368745378224933,20.14575964230786,15.109319731730894,3.0,0.3,-9.536005283331436,9.536005283331436,0.15,0,12,0.045,-4.8958333333333335e-05,0
