hour_of_year,datetime,month,hour_of_day,season,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_50m_ms,wind_speed_15m_ms,wind_speed_20m_ms,wind_speed_25m_ms,wind_speed_30m_ms,wind_speed_40m_ms,air_temp_c,relative_humidity_pct,air_density_kgm3,outlier_flag,wind_speed_50m_ms_derived,alpha_actual
93,2023-01-04 20:00:00,1,20,Amihan,2.67,41.5,3.78,2.836981974945252,2.9617532590165467,3.062300097404823,3.146981501897116,3.2853866544176533,25.12,91.92,1.1218317296409297,0,3.396920334672443,0.2160043171181185
94,2023-01-04 21:00:00,1,21,Amihan,2.31,47.3,3.15,2.454467551357128,2.5624157409469004,2.6494057022491164,2.722669389281774,2.8424131729231386,25.06,90.05,1.1220574427416925,0,2.9389086041548103,0.1927100920810072
95,2023-01-04 22:00:00,1,22,Amihan,1.82,44.6,2.35,1.9338229192510707,2.01887300801877,2.087410553287183,2.145133458222004,2.239477045333382,25.04,87.63,1.122132700627117,0,2.315503748728032,0.1588000537907227
96,2023-01-04 23:00:00,1,23,Amihan,1.7,47.4,2.16,1.8063181113883624,1.885760501995554,1.9497790882352808,2.003696087350223,2.0918192181685438,25.02,86.22,1.122207968608512,0,2.1628331718888214,0.1487972718821541
97,2023-01-05 00:00:00,1,0,Amihan,2.07,48.9,2.67,2.199457935631712,2.2961907289004686,2.374142772145312,2.439794647538213,2.547097518593461,24.95,86.25,1.1224714860784972,0,2.633567450476388,0.1581482970970477
98,2023-01-05 01:00:00,1,1,Amihan,2.5,43.5,3.3,2.656350163806416,2.773177208816992,2.867322188581295,2.946611893162093,3.0762047326007997,24.96,86.17,1.1224338331488375,0,3.1806370174835608,0.1725022968909633
99,2023-01-05 02:00:00,1,2,Amihan,2.87,41.2,3.84,3.049489988049765,3.1836074357219064,3.291685872491327,3.382710453350083,3.5314830330257174,24.99,85.9,1.122320889514993,0,3.651371296071128,0.1809080888294455
100,2023-01-05 03:00:00,1,3,Amihan,3.18,42.6,4.31,3.378877408361761,3.527481409615213,3.647233823875408,3.748090328102183,3.9129324198682167,24.96,86.06,1.1224338331488375,0,4.045770286239089,0.1889210543473019
101,2023-01-05 04:00:00,1,4,Amihan,3.37,48.6,4.62,3.5807600208110486,3.738242877485305,3.8651503102075857,3.972032831982502,4.146723979545877,24.9,86.2,1.1226597886260696,0,4.28749869956784,0.1960199634245256
102,2023-01-05 05:00:00,1,5,Amihan,3.46,53.5,4.75,3.67638862670808,3.838077257002716,3.968373908996512,4.078110860136337,4.257467349919506,24.91,85.75,1.122622123062471,0,4.402001632197248,0.1968861467278823
